id,created_at,text
1193615188311912449,2019-11-10 19:43:31,"b'The call to the Ukrainian President was PERFECT. Read the Transcript! There was NOTHING said that was in any way wrong. Republicans, don\xe2\x80\x99t be led into the fools trap of saying it was not perfect, but is not impeachable. No, it is much stronger than that. NOTHING WAS DONE WRONG!'"
1193605807369269248,2019-11-10 19:06:15,"b'\xe2\x80\x9cThere\xe2\x80\x99s nothing there! I\xe2\x80\x99m trying to let the House know that they\xe2\x80\x99re dividing America for no good reason. We\xe2\x80\x99ve got a lot of things we should be doing, like lowering drug costs &amp; getting a trade deal with Mexico and Canada.\xe2\x80\x9d @LindseyGrahamSC  The Do Nothing Dems have gone crazy!'"
1193603788898263041,2019-11-10 18:58:14,"b'Corrupt politician Adam Schiff wants people from the White House to testify in his and Pelosi\xe2\x80\x99s disgraceful Witch Hunt, yet he will not allow a White House lawyer, nor will he allow ANY of our requested witnesses. This is a first in due process and Congressional history!'"
1193579547771453441,2019-11-10 17:21:54,"b'RT @USMC: #HappyBirthdayMarines!\n\nToday, we celebrate our heritage and honor the sacrifices of those who fought before us. https://t.co/1ob\xe2\x80\xa6'"
1193562107666673664,2019-11-10 16:12:36,b'ABC is as bad as the rest of them. Journalistic standards are nonexistent today. The press is so dishonest that we no longer have Freedom of the Press! https://t.co/nzF31cLYw7'
1193560837656662016,2019-11-10 16:07:33,"b'RT @DeptofDefense: Happy 244th birthday \xf0\x9f\x8e\x82 to the most powerful fighting force on the planet, the @USMC!\n#HappyBirthdayMarines https://t.co/\xe2\x80\xa6'"
1193560794367062016,2019-11-10 16:07:23,b'RT @TVNewsHQ: WATCH @JesseBWatters on Epstein: \xe2\x80\x9cWatters World is calling for an independent investigation into ABC News... The media wants\xe2\x80\xa6'
1193377531828805632,2019-11-10 03:59:10,b'Make America Great Again! https://t.co/ffS9kLtjxE'
1193376950481489921,2019-11-10 03:56:51,"b'RT @realDonaldTrump: Just finished reading my son Donald\xe2\x80\x99s just out new book, \xe2\x80\x9cTriggered.\xe2\x80\x9d It is really good! He, along with many of us, wa\xe2\x80\xa6'"
1193375035324547072,2019-11-10 03:49:14,b'Such an amazing game &amp; place! https://t.co/dGmXYxgKV5'
1193358534286757888,2019-11-10 02:43:40,b'https://t.co/KkZEHQMf8W https://t.co/DWb93QBKjB'
1193354680530718720,2019-11-10 02:28:21,"b'RT @GreggJarrett: Concerns, Opinions, and Hearsay Are Not Evidence https://t.co/9k4m9iJSjk https://t.co/fLXvcF1ETg'"
1193354496513982464,2019-11-10 02:27:38,b'RT @GreggJarrett: Here\xe2\x80\x99s Why The Justice Department Must Investigate Joe Biden\xe2\x80\x99s \xe2\x80\x9cQuid Pro Quo\xe2\x80\x9d https://t.co/EknlC5mWnX'
1193354435004518400,2019-11-10 02:27:23,b'RT @GreggJarrett: President Trump To Kick Off NYC 100th Veterans Day Parade https://t.co/skSUgkyCqB https://t.co/igLzBqSNXH'
1193354400258908160,2019-11-10 02:27:15,b'RT @GreggJarrett: There is no whistleblower statute that permits an unelected and inferior federal employee to blow the whistle on the pres\xe2\x80\xa6'
1193354342146789376,2019-11-10 02:27:01,"b'RT @GreggJarrett: Gregg unravels the coordinated, premeditated plot to impeach @realDonaldTrump #WitchHunt https://t.co/BDOQ4WM4sK https://\xe2\x80\xa6'"
1193354322890780673,2019-11-10 02:26:56,b'RT @GreggJarrett: The \xe2\x80\x9cWhistleblower\xe2\x80\x99s\xe2\x80\x9d Right to \xe2\x80\x9cAnonymity\xe2\x80\x9d is a Myth https://t.co/qJEfr0BmmG https://t.co/oYBYLvgWVc'
1193354248467054593,2019-11-10 02:26:38,b'RT @GreggJarrett: Adam Schiff Sits on a Throne of Lies https://t.co/zsv8kBDzOq https://t.co/utjfYOmUTg'
1193354180938780673,2019-11-10 02:26:22,"b'RT @GreggJarrett: Gregg Jarrett Unravels the Coordinated, Premeditated Plot to Impeach Trump https://t.co/BDOQ4WM4sK'"
1193351834628308992,2019-11-10 02:17:03,b'RT @AndrewPollackFL: A couple people boo President Trump at the Nationals game in DC:\n\nMedia: BREAKING NEWS\n\nThe entire stadium cheering fo\xe2\x80\xa6'
1193350845573648385,2019-11-10 02:13:07,"b'RT @realDonaldTrump: But the Witch Hunt continues. After 3 years of relentless attacks against the Republican Party &amp; me, the Do Nothing De\xe2\x80\xa6'"
1193350653650669569,2019-11-10 02:12:21,b'RT @realDonaldTrump: PRESIDENTIAL HARASSMENT!'
1193350636202426368,2019-11-10 02:12:17,b'RT @realDonaldTrump: ....Whatever happened to the so-called \xe2\x80\x9cinformer\xe2\x80\x9d to Whistleblower #1? Seems to have disappeared after I released the\xe2\x80\xa6'
